"Année.RAP";"Type.de.Budget..Hors.Budgets.annexes.";"Code.Ministère.au.1er.janvier.2017";"Ministère.au.1er.janvier.2017";"Programme";"Libellé.programme";"Code.Action";"Action";"T1.EXEC.CP.2017";"T2.EXEC.CP.2017";"T3.EXEC.CP.2017";"T4.EXEC.CP.2017";"T5.EXEC.CP.2017";"T6.EXEC.CP.2017";"T7.EXEC.CP.2017"
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"14";"Immobilier";"";"32481861";"930291309";"";"19166603";"1394936";"133143653"
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"15";"Pilotage et support du programme";"";"156500217";"1421708944";"";"305676";"19996587";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"17";"Recherche";"";"92013624";"3739859741";"";"";"523524";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"1";"Pilotage et animation";"";"";"54600523";"";"";"94330934";"24132171"
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"2";"Agence nationale de la recherche";"";"";"29060128";"";"";"585760273";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"11";"Recherches interdisciplinaires et transversales";"";"";"62953099";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"12";"Diffusion, valorisation et transfert des connaissances et des technologies";"";"";"149716202";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"13";"Grandes infrastructures de recherche";"";"";"219018377";"";"";"21382000";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"14";"Moyens généraux et d'appui à la recherche";"";"";"776068024";"";"";"";"1500000"
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"15";"Recherches scientifiques et technologiques en sciences de la vie et de la santé";"";"";"1143442317";"";"";"100620693";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"16";"Recherches scientifiques et technologiques en sciences et techniques de l'information";"";"";"1016199094";"";"";"690640";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"17";"Recherches scientifiques et technologiques dans le domaine de l'énergie";"";"";"399597279";"";"";"339424170";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"18";"Recherches scientifiques et technologiques dans le domaine de l'environnement";"";"";"1101968864";"";"";"39352058";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"19";"Recherches scientifiques et technologiques en sciences humaines et sciences sociales";"";"";"435318627";"";"";"1154485";""
