GESTION;2016;;;;;;;;;;;;;
Type budget;Budget général;;;;;;;;;;;;;
;;;;;;;;;;;;;;
CP;;;;;;TITRE;;;;;;;;
Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC CP 2017;T2 EXEC CP 2017;T3 EXEC CP 2017;T4 EXEC CP 2017;T5 EXEC CP 2017;T6 EXEC CP 2017;T7 EXEC CP 2017
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;1;Enseignement en collège;;11 453 976 871;10 292 296;;;115 910 701;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;2;Enseignement général et technologique en lycée;;8 810 800 645;5 059 439;;;13 239 572;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;3;Enseignement professionnel sous statut scolaire;;3 873 878 370;1 747 017;;;7 216 873;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;4;Apprentissage;;5 673 085;39 110;;;389 930;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;5;Enseignement post-baccalauréat en lycée;;1 151 933 852;91 785;;;696 747;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;6;Besoins éducatifs particuliers;;876 189 138;326 164;;;2 447 579;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;7;Aide à l'insertion professionnelle;;43 671 536;210 336;;;3 224 069;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;8;Information et orientation;;275 939 437;1 691 284;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;9;Formation continue des adultes et validation des acquis de l'expérience;;82 035 615;239 860;;;1 685 474;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;10;Formation des personnels enseignants et d'orientation;;563 401 294;18 736 118;;;526 848;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;11;Remplacement;;1 312 649 367;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;3 623 605 102;6 490 184;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;141;Enseignement scolaire public du second degré;13;Personnels en situations diverses;;172 301 805;;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;1;Formation initiale et continue du baccalauréat à la licence;;49 039 829;3 042 273 434;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;2;Formation initiale et continue de niveau master;;100 135 813;2 374 707 588;;;900 650;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;3;Formation initiale et continue de niveau doctorat;;10 748 366;348 148 659;;;5 431 861;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;4;Établissements d'enseignement privés;;;;;;76 685 504;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;5;Bibliothèques et documentation;;38 175 842;416 017 000;;;2 068 240;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées;;30 267 525;90 828 365;;;487 620;276 000
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;14;Immobilier;;32 481 861;930 291 309;;19 166 603;1 394 936;133 143 653
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;15;Pilotage et support du programme;;156 500 217;1 421 708 944;;305 676;19 996 587;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;150;Formations supérieures et recherche universitaire;17;Recherche;;92 013 624;3 739 859 741;;;523 524;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;1;Pilotage et animation;;;54 600 523;;;94 330 934;24 132 171
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;2;Agence nationale de la recherche;;;29 060 128;;;585 760 273;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;11;Recherches interdisciplinaires et transversales;;;62 953 099;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;12;Diffusion, valorisation et transfert des connaissances et des technologies;;;149 716 202;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche;;;219 018 377;;;21 382 000;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche;;;776 068 024;;;;1 500 000
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;15;Recherches scientifiques et technologiques en sciences de la vie et de la santé;;;1 143 442 317;;;100 620 693;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;16;Recherches scientifiques et technologiques en sciences et techniques de l'information;;;1 016 199 094;;;690 640;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;17;Recherches scientifiques et technologiques dans le domaine de l'énergie;;;399 597 279;;;339 424 170;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;18;Recherches scientifiques et technologiques dans le domaine de l'environnement;;;1 101 968 864;;;39 352 058;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;172;Recherches scientifiques et technologiques pluridisciplinaires;19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales;;;435 318 627;;;1 154 485;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;1;Développement de la technologie spatiale au service de la science;;;71 876 044;;;122 296 500;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;2;Développement de la technologie spatiale au service de l'observation de la terre;;;166 752 423;;;123 202 400;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;3;Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication;;;29 325 426;;;97 837 200;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;4;Maîtrise de l'accès à l'espace;;;134 551 954;;;343 336 100;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;5;Maîtrise des technologies orbitales et de l'innovation technologique;;;115 001 670;;;117 767 000;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;6;Moyens généraux et d'appui à la recherche;;;26 620 377;;;28 988 800;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;193;Recherche spatiale;7;Développement des satellites de météorologie;;;;;;75 882 105;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;1;Pilotage et mise en oeuvre des politiques éducatives;;455 954 717;26;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;2;Évaluation et contrôle;;86 563 615;4 236 072;;;547 920;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;3;Communication;;10 937 014;3 024 553;;;16 814;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;4;Expertise juridique;;18 225 976;4 235 983;;;1 031 100;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;5;Action internationale;;6 748 456;5 889 153;;;1 823 547;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;6;Politique des ressources humaines;;550 632 357;88 759 485;;;1 368 967;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;7;Établissements d'appui de la politique éducative;;;151 030 681;;;;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;8;Logistique, système d'information, immobilier;;280 295 971;302 785 839;;98 748 849;36 801 868;0
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;9;Certification;;136 653 746;25 307 353;;;2 781 678;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;214;Soutien de la politique de l'éducation nationale;10;Transports scolaires;;-240;234 785;;;2 970 245;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;1;Vie scolaire et éducation à la responsabilité;;919 745 589;17 713 718;;;1 408 854 822;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;2;Santé scolaire;;554 720 360;2 117 850;;;2 722 349;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;3;Inclusion scolaire des élèves en situation de handicap;;540 365 820;17 029 357;;45 552;390 834 459;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;4;Action sociale;;190 127 971;1 639 150;;;640 844 830;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;5;Politique de l'internat et établissements à la charge de l'Etat;;43 425 733;679 965;;;15 795 278;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;230;Vie de l'élève;6;Actions éducatives complémentaires aux enseignements;;;961 470;;;419 935 223;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;1;Aides directes;;;29 144 129;;;2 200 667 866;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;2;Aides indirectes;;;166 289 078;;5 248 113;6 931 881;87 225 065
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;3;Santé des étudiants et activités associatives, culturelles et sportives;;;45 990 477;;;9 927 282;
2017;Budget général;MIN06;Éducation nationale, enseignement supérieur et recherche;231;Vie étudiante;4;Pilotage et animation du programme;;;89 673 502;;;;2 631 461
2017;Budget général;MIN07;Économie et finances;110;Aide économique et financière au développement;1;Aide économique et financière multilatérale;;;;;;84 241 275;492 186 669
2017;Budget général;MIN07;Économie et finances;110;Aide économique et financière au développement;2;Aide économique et financière bilatérale;;;5 271 684;;;242 845 373;
2017;Budget général;MIN07;Économie et finances;110;Aide économique et financière au développement;3;Traitement de la dette des pays pauvres;;;;;;37 554 325;69 890 079
2017;Budget général;MIN07;Économie et finances;114;Appels en garantie de l'État (crédits évaluatifs);2;Soutien au domaine social, logement, santé;;;;;;32 200 000;
2017;Budget général;MIN07;Économie et finances;114;Appels en garantie de l'État (crédits évaluatifs);3;Financement des entreprises et industrie;;;;;;2 783 900;
